Гигантские кальмары;
Кранхииды;
Наутилиды;
Обыкновенные осьминоги;
Сепиолиды;
Австралийские жабы;
Амбистомовые;
Амфиумовые;
Безлёгочные саламандры;
Веслоногие лягушки;
Водные червяги;
Гигантские амбистомы;
Древолазы;
Жабы;
Жерлянки;
Квакши;
Короткоголовы;
Короткоголовые червяги;
Круглоязычные;
Лопатоноги;
Лягушки-привидения;
Мантеллы;
Настоящие лягушки;
Настоящие саламандры;
Настоящие червяги;
Носатые жабы;
Пиповые;
Пискуньи;
Протеи;
Прыгуньи;
Ринодермы;
Рогатые чесночницы;
Рыбозмеи;
Свистуновые;
Сейшельские лягушки;
Сиреновые;
Скрытожаберники;
Стеклянные лягушки;
Углозубы;
Узкороты;
Хвостатые червяги;
Астерииды;
Астериниды;
Гониастериды;
Гребенчатые звёзды;
Луидии;
Ореастериды;
Офидиастериды;
Австралийские вельветки;
Адрианихтиевые;
Акизовые;
Акропоматовые;
Альбуловые;
Амблиопсовые;
Амиевые;
Аноплопомовые;
Антарктические бородатки;
Антарктические плосконосы;
Антарктические рогатки;
Анчоусовые;
Аплоактовые;
Аплохеиловые;
Апогоновые;
Аравановые;
Аракановые;
Аргентиновые;
Ариевые;
Ариомматовые;
Аспредовые;
Атериновые;
Афредодеровые;
Африканские тетры;
Ахировые;
Ахиропсеттовые;
Багариевые;
Барабулевые;
Барбудовые;
Барракудовые;
Батимастеровые;
Батраховые;
Белокровные рыбы;
Бельдюговые;
Бериксовые;
Бититовые;
Бовихтовые;
Большеглазовые;
Большеголовые;
Большеротые;
Ботовые;
Брахионихтиевые;
Брегмацеровые;
Броняковые;
Брызгуновые;
Бычковые;
Ванделлиевые;
Велиферовые;
Вепревые;
Веслоносовые;
Волосатковые;
Волосозубовые;
Волосохвостые;
Вьюновые;
Галаксиевые;
Галозавровые;
Гемпиловые;
Гибберихтовые;
Гигантактиновые;
Гиодонтовые;
Гиспидобериксовые;
Гладкоголовые;
Голоцентровые;
Гоностомовые;
Горбылёвые;
Грамматовые;
Граммиколепидовые;
Губановые;
Двузубые;
Дерихтовые;
Диретмовые;
Дистиходонтовые;
Долгопёровые;
Долгохвостовые;
Драконовые;
Единороговые;
Желтокрылковые;
Жемчужноглазовые;
Живоглотовые;
Занкловые;
Запроровые;
Звездочётовые;
Зеленоглазковые;
Змееголовые;
Зубатковые;
Иглобрюхие;
Игловые;
Икталуровые;
Калкановые;
Камбаловые;
Каменные окуни;
Караповые;
Каристовые;
Карповые;
Карпозубовые;
Каулофриновые;
Кефалевые;
Кифозовые;
Клариевые;
Клинобрюхие;
Клоуновые;
Кобиевые;
Кольчужные сомы;
Колюшковые;
Конгеровые;
Конголлиевые;
Корифеновые;
Корюшковые;
Косатковые;
Криворотовые;
Кузовковые;
Латовые;
Лебиасиновые;
Лепидогалаксиевые;
Летриновые;
Летучие рыбы;
Липаровые;
Лировые;
Ложнодолгохвостовые;
Лососёвые;
Лофихтиевые;
Лофотовые;
Луваровые;
Луны-рыбы;
Луфаревые;
Луциановые;
Макрелещуковые;
Макроподовые;
Марлиновые;
Маслюковые;
Меланоцетовые;
Меновые;
Мешкоротые;
Миктофовые;
Многопёровые;
Молочные рыбы;
Морингуевые;
Мормировые;
Моровые;
Мороновые;
Морские лещи;
Морские лисички;
Муреновые;
Налимовые;
Неоскопеловые;
Нетопырёвые;
Неттастомовые;
Нитехвостые угри;
Нотобранхиевые;
Нототениевые;
Одонтобутовые;
Окуневые;
Опаховые;
Опистопроктовые;
Осетровые;
Острохвостые угри;
Ошибневые;
Палочкохвостые;
Пангасиевые;
Панцирниковые;
Панцирные сомы;
Патагониевые;
Пегасовые;
Перкофовые;
Перцихтовые;
Песчанковые;
Пецилиевые;
Пимелодовые;
Пинагоровые;
Пираньевые;
Плезиопсовые;
Плекоглоссовые;
Плоскоголововые;
Ползуновые;
Полурыловые;
Помацентровые;
Пресноводные рыбы-бабочки;
Прилипаловые;
Присосковые;
Прохилодонтовые;
Псеттодовые;
Психролютовые;
Птилихтиевые;
Радиицефаловые;
Рамфокоттовые;
Ремнетелые;
Риацихтиевые;
Рогатковые;
Рыбы-ангелы;
Рыбы-ласточки;
Рыбы-попугаи;
Саблезубовые;
Саланксовые;
Самаровые;
Свинорыловые;
Свистульковые;
Сельдевые;
Дельфиновые;
Карликовые киты;
Карликовый гладкий кит;
Нарваловые;
Настоящие тюлени;
Гаммариды;
Дафниевые;
Карпоеды;
Китовые вши;
Крабоиды;
Настоящие лангусты;
Омары;
Раки-отшельники;
Раки-щелкуны;
Хидориды;
Циклопы;
Журавлиные;
Лапчатоногие;
Магеллановы ржанки;
Пеликановые;
Пингвиновые;
Полулапчатые гуси;
Утиные;
Цаплевые;
Чайковые;
Азиатские пресноводные черепахи;
Аллигаторовые;
Американские пресноводные черепахи;
Гавиаловые;
Двухкоготные черепахи;
Змеиношеие черепахи;
Каймановые черепахи;
Кожистые черепахи;
Мексиканские черепахи;
Морские черепахи;
Пеломедузовые черепахи;
